start_time	end_time	speaker	transcript
14.46	15.82	SPEAKER	i'll start from
21.57	164.11	SPEAKER	after assigning a memory space next we have next we have to define the tool function using google SDK why do we do this we have to ensure the google search is happening for the query which has been given it has to search with the help of what with the help of two things one the API key which is integrated and the search engine ID that search engine is not a normal open public search engine it is a custom google search engine which we have created and added that i'd into our code hope we are clear until here next we have to define the AI agents reasoning loop what is this reasoning loop it received goal the prompt which is received from the user then we will use google search tool which is created then we will result then we will display top three results it will have the result title URL and the snippet if any then we will store that in the memory with the help of memory append function we are trying to append the goal and the results so how many goals and results are stored that has been totaled total stored goals the numbers as we mentioned here next we are done with our goal tool and memory let's see what we can do next real time interaction i have just trying to give the real time feel of interaction with the SDK first it will state a welcome statement it will be printed then it will ask to enter your search goal what is your search goal for example top AI research labs in twenty twenty five i'll be typing the same then we will run when you run what will happen it will go to the reasoning loop which we have created here right after it enters the reasoning loop it will finish all the assigned functions then it will show all the memories at the end what are the different sorry
173.34	175.90	SPEAKER	once it completes the
179.63	210.67	SPEAKER	once it completes the execution of the functions in the reasoning loop it will show all the memory at the end so again you will have a for loop for that and we will try to list everything out so this is about the code of generating a custom search engine with the help of google SDK so the agent has been built so let's run
214.69	215.65	SPEAKER	let's run
218.40	218.84	SPEAKER	two
220.36	221.24	SPEAKER	let's run
227.86	236.94	SPEAKER	the output is this way it is try to take all the API 's the google authentications everything
238.77	250.29	SPEAKER	it is asking enter your search goal after welcoming us to AI agent google SDK so i am typing the same top AI
253.01	262.23	SPEAKER	research labs in twenty twenty five OK i'm clicking on enter once i do that
264.38	304.55	SPEAKER	agent has received the goal that is top AI research labs in twenty twenty five the tool is searching in google for the same then the AI has got top three results what are these results as i mentioned it has as i mentioned it is having title URL and a snippet so here is the title result number one result number two result number two and result number three so memory is stored goal and results total stored goals is one because i have given one single query right one single prompt
307.34	328.95	SPEAKER	one single prompt so this is how it will list in the final memory log so this is how this particular code works when you integrate and try to understand how does an agent SDK key components and google SDK works
